,artist,song_name,spotify_track_id
114,J. Cole,She Knows (feat. Amber Coffman & Cults),0Fs9cdPDhptWEDJmiCbkEW
115,Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp
116,A Boogie Wit da Hoodie,Still Think About You,2FTeQQ5Rg9tBpgpTF5mnhE
117,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX
118,Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
119,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL
120,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN
121,Steve Lacy,C U Girl,6FBzhcfgGacfXF3AmtfEaX
122,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ
123,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP
124,$uicideboy$,Paris,6tO5bxNnMuh1c3cziSpecA
125,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA
126,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
127,Idina Menzel,Baby It's Cold Outside (with Michael Bublé),0Ie5uiv54KgCr7P4sYDTHl
128,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx
129,Cigarettes After Sex,K.,7LX4aXtvImhdgUHQBlo8Kp
130,The Weeknd,Party Monster,4F7A0DXBrmUAkp32uenhZt
131,WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh
132,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
133,Cults,Always Forever,2enPRFda84VE2wtI8c86Uf
134,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc
135,Travis Scott,90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP
136,Joy Again,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv
137,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO
