,artist,song_name,spotify_track_id
135,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9
136,J. Cole,Love Yourz,2e3Ea0o24lReQFR4FA7yXH
137,Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl
138,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14
139,Playboi Carti,Fell In Luv (feat. Bryson Tiller),1s9DTymg5UQrdorZf43JQm
140,The Weeknd,Stargirl Interlude,4EDijkJdHBZZ0GwJ12iTAj
141,Brent Faiyaz,Poison,5NijSs5dAwaIybq1GaRTIe
142,$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,6QFQqqYye5lAcnhCALvxKJ
143,Morgan Wallen,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y
144,Ariana Grande,Santa Baby,6YJdPrH3i2POzu7hdHIRrb
145,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh
146,Taylor Swift,Getaway Car,0VE4kBnHJUgtMf0dy6DRmW
147,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp
148,Morgan Wallen,Spin You Around,1yj1ZztSGITJ5Nf4mfH92c
149,Joji,worldstar money (interlude),0baNzeUcPQnQSagpe8T0mD
150,Ricky Montgomery,Mr Loverman,2IVsRhKrx8hlQBOWy4qebo
151,Tame Impala,Eventually,5M4yti0QxgqJieUYaEXcpw
152,Beach Bunny,Prom Queen,6MpCaSIOfqBqbMED4kXgNY
153,Kanye West,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM
154,ScHoolboy Q,Collard Greens,0zO8ctW0UiuOefR87OeJOZ
155,Frank Ocean,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV
156,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv
157,Milky Chance,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE
158,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN
159,Thundercat,Them Changes,7CH99b2i1TXS5P8UUyWtnM
160,Lil Uzi Vert,Erase Your Social,4uhvMW7ly7tJil31YYscAN
161,Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ
162,Jon Pardi,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I
163,Khalid,Location,152lZdxL1OR0ZMW6KquMif
164,Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc
165,Fitz and The Tantrums,Out of My League,2AYEOC02WLhUiOoaig2SEH
166,Daniel Caesar,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux
167,Justine Skye,Collide (feat. Tyga),22I3h5AOENlH4CqXJsEbFR
168,Katy Perry,Cozy Little Christmas,02FaKXXL7KUtRc7K0k54tL
169,Big Sean,Beware,6bxUnsSGZCmoHHU5auwtps
170,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d
171,XXXTENTACION,I Don't Wanna Do This Anymore,5de9Ho64dovuQI8Uhn5gPD
172,Mitski,First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr
173,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99
174,Kali Uchis,Dead To Me,6LOZws7T3jqZz78unPgFF9
175,Louis Armstrong,Cool Yule,2QWKbE6GpWhRtlbRwcP7g8
176,Bryson Tiller,Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz
177,Nitty Gritty Dirt Band,Fishing In The Dark,3i5QyEUyXa9Y7lIklr5sWk
178,Jon Pardi,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4
179,Kay Starr,(Everybody's Waitin' For) The Man With The Bag,7azp0ySqPkkXHi9M9aeg3T
180,Leona Lewis,One More Sleep,78pn8k7RogKo2oxl0DyX6d
181,The Living Tombstone,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p
182,Lana Del Rey,West Coast,5Y6nVaayzitvsD5F7nr3DV
183,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
184,Summer Walker,Deep,3LfHBTYZBTqmz43tvVXJBd
185,salvia palth,i was all over her,7svpAkwc6xaSxlbZ7V7JiS
186,Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3
187,Post Malone,Go Flex,5yuShbu70mtHXY0yLzCQLQ
