,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1118,Harry Styles,Love Of My Life,1mw0RgNXIpYRyyCdBQbLgA,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,191638,4
1119,IShowSpeed,World Cup,22TFAU0e7WHAQFGzwneu1e,0.41,0.82,1,-4.252,1,0.376,0.181,0.0,0.679,0.303,81.202,256706,3
1120,Polo G,Chosen 1,40QrLHWdsxyXLAdjJG4Rxs,0.77,0.576,8,-11.845,0,0.339,0.138,0.0,0.08,0.364,166.162,127200,4
1121,Roddy Ricch,Twin (feat. Lil Durk),5B40Td13cDQ4adeAiLf8Z4,0.785,0.609,11,-8.623,0,0.186,0.031,5.47e-05,0.096,0.326,83.962,148855,4
1122,Jack Harlow,Dua Lipa,0LnS7aOdOdI1dNKZqdOLz4,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053,4
1123,Josh Abbott Band,Settle Me Down,3CYpmhtAu6DCAwfkYB2mQ9,0.302,0.522,4,-6.737,1,0.0356,0.724,9.46e-06,0.107,0.49,73.369,177083,3
1124,Cian Ducrot,I'll Be Waiting,3fqBhOtYA62A5D20j8OaQY,0.514,0.651,1,-4.039,1,0.043,0.349,0.0,0.0776,0.525,155.913,172547,4
1125,Eem Triplin,AWKWARD FREESTYLE,2ISyz9DRGEMrJN77ge3hi2,0.646,0.465,5,-10.486,0,0.436,0.152,0.0,0.194,0.198,157.919,127765,4
1126,Bad Bunny,Si Veo a Tu Mamá,41wtwzCZkXwpnakmwJ239F,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972,4
1127,Tory Lanez,Broke In A Minute,4xqIYGwwZTEem9U8A42SPF,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,4
1128,Lizzo,About Damn Time,6HMtHNpW6YPi1hrw9tgF8P,0.836,0.743,10,-6.305,0,0.0653,0.0974,0.0,0.335,0.723,108.965,191938,4
1129,Bad Bunny,Yo No Soy Celoso,5kVZxyMY1gfdCLiChsfjn1,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,230704,4
1130,Ken Carson,Yale,0HTIrbUwwFn984RzVZm5Fk,0.728,0.442,1,-10.095,1,0.0565,0.000487,8.21e-06,0.149,0.441,142.025,106536,4
1131,Giveon,Like I Want You,6qBFSepqLCuh5tehehc1bd,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,260776,3
