,song_name,artist,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
1464,Call It What You Want,Taylor Swift,1GwMQaZz6Au3QLDbjbMdme,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4,75,0
1465,Foot Fungus,Ski Mask The Slump God,3EikYy40GMSp8l5mDV6IQo,0.881,0.623,1,-9.662,1,0.119,0.257,1.5e-06,0.0964,0.745,88.953,129547,4,70,0
1466,DUCKWORTH.,Kendrick Lamar,0y9uTzK9cNKSAEHnpeRG8C,0.552,0.731,7,-6.873,1,0.615,0.0536,0.0,0.258,0.632,174.516,248613,4,72,0
1467,Hurt You,The Weeknd,6QdnKD1zwEgyOWtkrdzlOF,0.476,0.718,5,-7.227,0,0.149,0.263,0.00261,0.109,0.361,183.932,230027,4,76,0
1468,Someone New,Hozier,2DNXgvkyv35vTWvdgjs7qn,0.443,0.533,7,-5.956,1,0.0473,0.429,3.66e-06,0.332,0.596,183.791,222813,4,69,0
1469,Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,305350,4,73,0
1470,Can I Be Him,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4,80,0
1471,Love Drugs and Sex,A Boogie Wit da Hoodie,1Gno5IBUHh6vUKp4nxu2Yd,0.762,0.553,5,-7.207,0,0.112,0.55,0.0,0.115,0.773,119.973,157863,4,70,0
1472,Twin Size Mattress,The Front Bottoms,14N3tALR3Mhf7UHpJRKk4L,0.325,0.867,4,-5.53,1,0.0809,0.00548,4.33e-06,0.103,0.336,144.866,264677,4,72,0
1473,Stone,Whiskey Myers,4rJesaufMl2xD0f2G8Xgnd,0.438,0.477,0,-7.649,1,0.031,0.243,7.8e-06,0.183,0.176,137.645,335623,4,69,0
1474,Little Do You Know,Alex & Sierra,1almCHdsfikRPfVB9VrEdT,0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,185200,4,77,0
1475,Below the Surface,Griffinilla,5f1j3h5DBkLpGfb90QGFvR,0.713,0.398,0,-8.852,0,0.0319,0.328,1.93e-06,0.057,0.483,104.974,134857,4,76,0
1476,Where's My Love - Acoustic,SYML,0ElpbbncWT9aS7mgoqEHbQ,0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,239880,4,78,0
1477,Universal Sound,Tyler Childers,48nZLOpJOINkICPWpUuhaN,0.672,0.437,5,-9.656,1,0.0368,0.85,0.261,0.107,0.636,101.588,221600,4,68,0
1478,Champagne & Sunshine,PLVTINUM,77U6kcldLRFl9vCfaw11Sr,0.607,0.522,5,-10.028,0,0.0704,0.0553,0.0,0.0909,0.265,109.961,196364,4,76,0
1479,Cherry Wine - Live,Hozier,1C042FLYy7rP3MfnkOcnha,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,240147,4,69,0
1480,Liability,Lorde,6Kkt27YmFyIFrcX3QXFi2o,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,171728,4,76,0
1481,Anchor,Novo Amor,7qH9Z4dJEN0l9bidizW7fq,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,257533,4,77,0
1482,"You're A Mean One, Mr. Grinch","Tyler, The Creator",5xQskDSiHQeoebxoprn3HL,0.567,0.68,3,-6.254,0,0.0518,0.0621,0.0,0.519,0.429,89.987,108987,4,69,0
1483,Pray For Me (with Kendrick Lamar),The Weeknd,77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440,4,75,0
1484,Reckless Love,Cory Asbury,0rH0mprtecH3grD9HFM5AD,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698,333386,4,71,0
1485,No Auto Durk,Only The Family,4VcPtoOpK3oBMDZJ9Ptp9f,0.765,0.553,11,-7.116,0,0.358,0.00822,0.0,0.206,0.565,154.971,184258,4,69,0
1486,Wasted Times,The Weeknd,7DKS0rX27cCEPsK0R6tFWS,0.56,0.678,10,-6.167,0,0.0581,0.61,1.42e-05,0.111,0.29,122.585,220293,4,75,0
1487,Just What I Am,Kid Cudi,20bJBbPapGQ4bqs0YcA9xY,0.654,0.95,1,-3.163,1,0.137,0.00223,0.0,0.406,0.351,140.009,228027,4,70,0
